RK;PLAYER;TEAM;Sueldo1920;Sueldo2021;Sueldo2122;Sueldo2223
102;Marcus Smart;Boston Celtics;12553;13446;14339;17207
103;Miles Plumlee;Memphis Grizzlies;12500;12500;0;0
104;Terrence Ross;Orlando Magic;12500;13500;12500;0
105;Nikola Mirotic;Milwaukee Bucks;12500;12500;0;0
106;Patty Mills;San Antonio Spurs;12428;13535;0;0
107;Tyreke Evans;Indiana Pacers;12400;12400;0;0
108;Patrick Beverley;LA Clippers;12345;13333;14320;0
109;Trevor Ariza;Portland Trail Blazers;12195;12800;0;0
110;Brook Lopez;Milwaukee Bucks;12093;12697;13302;13906
111;Cory Joseph;Sacramento Kings;12000;12600;0;0
112;Joe Ingles;Utah Jazz;11954;0;13036;0
113;Zach Randolph;Dallas Mavericks;11692;11692;0;0
114;Tony Snell;Detroit Pistons;11392;12178;0;0
115;Robert Covington;Houston Rockets;11301;12138;12975;12307
116;Meyers Leonard;Miami Heat;11286;0;0;0
117;Omer Asik;Chicago Bulls;11286;11286;0;0
118;Maurice Harkles;New York Knicks;11011;0;0;0
119;T.J. Warren;Indiana Pacers;10810;12500;12690;0
120;Andre Roberson;Oklahoma City Thunder;10740;0;0;0
